,0,1,2
0,22.309124399999998,114.1953554,-58.52859989
1,22.32182768,114.1872577,-64.953032
2,22.30967275,114.18844270000001,-53.34000816
3,22.31762372,114.1772836,-109.3509155
4,22.30007675,114.1896278,-58.92571749
5,22.32018265,114.1916028,-58.198124899999996
6,22.30985553,114.1765923,-74.8148308
7,22.3072052,114.1805425,-54.52020561
8,22.30894162,114.1645445,-60.83874714
9,22.30674825,114.16967959999998,-66.68766531
10,22.29989396,114.18390009999999,-58.74222961
11,22.32219324,114.1853814,-65.00406336
12,22.31616147,114.1809375,-95.61604894
13,22.32091378,114.17995,-56.6126461
14,22.30738798,114.1640507,-61.90894989
15,22.31607008,114.19515790000001,-58.76899042
16,22.31250585,114.18073999999999,-56.00653383
17,22.29961979,114.17283970000001,-63.4485035
18,22.31415088,114.1860726,-31.39124716
19,22.31287141,114.1828138,-49.51210717
20,22.30994692,114.1726422,-90.64188964
21,22.32027404,114.19268909999998,-58.9395953
22,22.32274159,114.16770459999998,-61.95976842
23,22.31332837,114.1760986,-54.5034172
24,22.31031248,114.16790209999999,-60.73897036
25,22.3130542,114.1844926,-43.56391812
26,22.31817206,114.189924,-55.00821297
27,22.31387671,114.1915041,-54.08214207
28,22.31634425,114.1774811,-105.8732578
29,22.325483300000002,114.18241880000001,-61.30586605
30,22.30592574,114.18587509999999,-121.95664520000001
31,22.30647408,114.1717534,-117.1142629
32,22.30848467,114.19031899999999,-56.30878565
33,22.31067804,114.18390009999999,-49.46652981
34,22.31076943,114.1892327,-52.50090544
35,22.30711381,114.1737285,-70.35496243
36,22.30948997,114.17995,-61.97483763
37,22.31670981,114.17570359999999,-53.27989724
38,22.30464627,114.1724447,-60.88524659
39,22.3082105,114.1840976,-100.8133785
40,22.32009126,114.1872577,-56.00264799
41,22.31808067,114.1726422,-39.56604602
42,22.30089926,114.18646770000001,-57.42423417
43,22.31725816,114.17274099999999,-22.76299113
44,22.30574296,114.1688896,-70.02845904
45,22.31040387,114.17185220000002,-97.92466961
46,22.30099065,114.1689884,-65.98396558
47,22.31003831,114.17797490000001,-61.68262847
48,22.32082239,114.18587509999999,-86.91068283
49,22.30263568,114.19377539999999,-59.10591123
50,22.31442505,114.18143119999999,-90.7485327
51,22.31634425,114.1673096,-65.13511846
52,22.32127934,114.17985120000002,-57.0479517
53,22.31716677,114.1940716,-58.17686351
54,22.3264886,114.1845913,-62.40869378
55,22.30994692,114.16523570000001,-60.04506275
56,22.305286,114.1885415,-90.26910397
57,22.31844623,114.1946642,-61.96891804
58,22.30976414,114.1729385,-43.13712358
59,22.31214029,114.18469009999998,-45.95427691
60,22.3005337,114.17274099999999,-63.19338018
61,22.312048899999997,114.16523570000001,-62.11866144
62,22.31607008,114.1784687,-74.99182312
63,22.31917736,114.18715890000001,-54.66782035
64,22.31442505,114.18301129999999,-58.05627666
65,22.30428071,114.1880477,-89.75932075
66,22.32027404,114.17985120000002,-55.756708999999994
67,22.31460783,114.1886402,-54.87173829999999
68,22.30364097,114.16839579999998,-83.47401608
69,22.31040387,114.17639479999998,-62.60565093
70,22.30354958,114.1943679,-59.01655143
71,22.31469922,114.1787649,-114.34732199999999
72,22.30482905,114.1688896,-64.26581944
73,22.30674825,114.1721485,-112.93355430000001
74,22.31853762,114.17125970000001,-82.64996558
75,22.3178065,114.18241880000001,-61.67483006
76,22.3110436,114.1866652,-110.93815659999999
77,22.31616147,114.1849864,-47.92211418
78,22.30848467,114.18399879999998,-45.66398509
79,22.30948997,114.1912078,-53.53876827
80,22.30345819,114.1885415,-61.55730937
81,22.31616147,114.1873564,-68.51764328
82,22.31872041,114.1734322,-58.04244472
83,22.31753233,114.1636557,-61.63214431
84,22.32054822,114.1716547,-59.35880791
85,22.31433366,114.17274099999999,-77.14339404
86,22.31223168,114.18073999999999,-53.94244717
87,22.31424227,114.1893315,-49.86470622
88,22.30656547,114.1908128,-53.37748288
89,22.32100517,114.1840976,-63.57483667
90,22.30263568,114.1921953,-58.02042062
91,22.30894162,114.1662233,-62.1103166
92,22.3235641,114.1904178,-60.37382259
93,22.304372100000002,114.17313600000001,-57.33079921
94,22.30400654,114.18972649999999,-58.34275293
95,22.30757077,114.1905165,-52.26393301
96,22.31140917,114.1869614,-84.5309463
97,22.30985553,114.17441979999998,-70.60627515
98,22.3082105,114.1746173,-45.73094689
99,22.30263568,114.1901215,-56.63165128
100,22.31625286,114.16513700000002,-61.97188593
101,22.31131778,114.17283970000001,-55.98757865
102,22.31351115,114.1687909,-62.56179722
103,22.31981709,114.1729385,-55.99025996
104,22.30784494,114.1840976,-45.681791100000005
105,22.32411244,114.1665195,-65.24348412
106,22.32639721,114.1806412,-61.83747455
107,22.31808067,114.1863689,-75.03719803
108,22.31140917,114.1876527,-49.95804531
109,22.31506479,114.16316189999999,-64.76861889
110,22.30757077,114.18913400000001,-49.461897799999996
111,22.3062913,114.16513700000002,-63.42067945
112,22.32237603,114.17629609999999,-61.71477064
113,22.31999987,114.17767859999998,-85.75255866
114,22.30793633,114.17412350000001,-36.463186900000004
115,22.32502635,114.1825175,-60.99499441
116,22.32155351,114.19140530000001,-59.19058617
117,22.31707538,114.1838013,-56.34275948
118,22.32173629,114.1909115,-59.11193665
119,22.30464627,114.1746173,-60.11207458
120,22.30784494,114.1760986,-56.53055373
121,22.32338132,114.1785674,-59.47974793
122,22.30793633,114.1909115,-52.86986369
123,22.32319854,114.1806412,-59.16476085
124,22.30473766,114.17906119999999,-60.73926587
125,22.3082105,114.1672108,-60.35851493
126,22.30683964,114.1847889,-45.98864773
